Date/Time	Lat	Lon
4/2/2014 6:59:00	40.7494	-74.0246
4/2/2014 7:01:00	40.7337	-74.0044
4/2/2014 7:02:00	40.7382	-74.001
4/2/2014 7:03:00	40.7805	-73.982
4/2/2014 7:04:00	40.7865	-73.9699
4/2/2014 7:05:00	40.7333	-74.0092
4/2/2014 7:05:00	40.709	-74.0166
4/2/2014 7:08:00	40.7607	-73.9981
4/2/2014 7:10:00	40.7732	-73.9449
4/2/2014 7:10:00	40.7759	-73.9089
4/2/2014 7:11:00	40.7797	-73.9878
4/2/2014 7:11:00	40.7924	-73.9678
4/2/2014 7:12:00	40.7591	-73.9939
4/2/2014 7:12:00	40.7591	-73.9939
4/2/2014 7:13:00	40.735	-73.9919
4/2/2014 7:14:00	40.7234	-73.9911
4/2/2014 7:14:00	40.7096	-74.0069
4/2/2014 7:14:00	40.7828	-73.9553
4/2/2014 7:15:00	40.7649	-73.9794
4/2/2014 7:16:00	40.7595	-73.976
4/2/2014 7:17:00	40.7707	-73.9874
4/2/2014 7:17:00	40.7056	-74.0087
4/2/2014 7:17:00	40.7749	-73.9612
4/2/2014 7:18:00	40.8041	-73.9546
4/2/2014 7:19:00	40.7772	-73.9753
4/2/2014 7:19:00	40.7531	-73.9741
4/2/2014 7:20:00	40.777	-73.9522
4/2/2014 7:21:00	40.7584	-73.9671
4/2/2014 7:26:00	40.7366	-73.9888
4/2/2014 7:26:00	40.7372	-73.9864
4/2/2014 7:28:00	40.7459	-74.0076
4/2/2014 7:28:00	40.741	-73.9926
4/2/2014 7:29:00	40.7775	-73.9467
4/2/2014 7:30:00	40.7347	-73.9797
4/2/2014 7:30:00	40.7227	-74.0045
4/2/2014 7:30:00	40.7253	-73.9921
4/2/2014 7:31:00	40.7832	-73.9551
4/2/2014 7:31:00	40.7199	-73.9538
4/2/2014 7:33:00	40.6863	-73.9936
4/2/2014 7:33:00	40.7573	-73.9934
4/2/2014 7:34:00	40.7461	-74.0003
4/2/2014 7:35:00	40.7625	-73.9906
4/2/2014 7:37:00	40.7166	-73.9969
4/2/2014 7:37:00	40.7951	-73.9761
4/2/2014 7:37:00	40.7661	-73.9642
4/2/2014 7:38:00	40.7388	-74.0071
4/2/2014 7:39:00	40.7361	-73.9858
4/2/2014 7:40:00	40.7408	-74.0018
4/2/2014 7:40:00	40.7398	-74.0001
4/2/2014 7:41:00	40.716	-74.0073
4/2/2014 7:41:00	40.7427	-73.9964
4/2/2014 7:41:00	40.7427	-73.9964
4/2/2014 7:41:00	40.7377	-73.9827
4/2/2014 7:42:00	40.7707	-73.9632
4/2/2014 7:42:00	40.7694	-73.9598
4/2/2014 7:43:00	40.7688	-73.9697
4/2/2014 7:43:00	40.7794	-73.9597
4/2/2014 7:43:00	40.7694	-73.9558
4/2/2014 7:44:00	40.7627	-73.9635
4/2/2014 7:44:00	40.7377	-73.9802
4/2/2014 7:44:00	40.7562	-74.0429
4/2/2014 7:44:00	40.7562	-74.0429
4/2/2014 7:46:00	40.7223	-74.0114
4/2/2014 7:49:00	40.7237	-74.0107
4/2/2014 7:50:00	40.7069	-74.0079
4/2/2014 7:51:00	40.731	-73.9796
4/2/2014 7:51:00	40.7229	-74.0033
4/2/2014 7:51:00	40.7817	-73.9721
4/2/2014 7:52:00	40.7364	-73.9797
4/2/2014 7:52:00	40.7272	-73.9796
4/2/2014 7:53:00	40.6678	-73.7958
4/2/2014 7:53:00	40.7256	-73.9898
4/2/2014 7:55:00	40.7749	-73.99
4/2/2014 7:55:00	40.7331	-73.9999
4/2/2014 7:56:00	40.7527	-73.9811
4/2/2014 7:56:00	40.7222	-74.0039
4/2/2014 7:57:00	40.7375	-73.9912
4/2/2014 7:58:00	40.7177	-73.9923
4/2/2014 8:00:00	40.7191	-74.0036
4/2/2014 8:00:00	40.7342	-73.9853
4/2/2014 8:01:00	40.779	-73.9485
4/2/2014 8:04:00	40.5802	-73.9698
4/2/2014 8:06:00	40.7256	-73.9938
4/2/2014 8:06:00	40.7305	-73.9832
4/2/2014 8:06:00	40.7336	-74.0082
4/2/2014 8:07:00	40.7156	-73.9407
4/2/2014 8:07:00	40.7369	-73.9789
4/2/2014 8:08:00	40.7646	-73.9778
4/2/2014 8:10:00	40.762	-73.9714
4/2/2014 8:10:00	40.7196	-73.9895
4/2/2014 8:11:00	40.7666	-73.96
4/2/2014 8:11:00	40.7288	-73.9994
4/2/2014 8:12:00	40.7484	-73.9902
4/2/2014 8:12:00	40.7802	-73.9512
4/2/2014 8:12:00	40.7059	-74.0084
4/2/2014 8:13:00	40.7679	-73.9855
4/2/2014 8:14:00	40.7274	-73.981
4/2/2014 8:15:00	40.777	-73.9498
4/2/2014 8:18:00	40.7328	-73.9856
4/2/2014 8:18:00	40.7739	-73.8727
4/2/2014 8:19:00	40.7015	-73.9826
4/2/2014 8:19:00	40.7044	-74.0144
4/2/2014 8:19:00	40.7261	-74.0005
4/2/2014 8:20:00	40.7349	-73.9772
4/2/2014 8:20:00	40.736	-73.9918
4/2/2014 8:20:00	40.7991	-73.9612
4/2/2014 8:21:00	40.7261	-73.9872
4/2/2014 8:22:00	40.75	-73.9754
4/2/2014 8:24:00	40.7455	-74.0057
4/2/2014 8:25:00	40.7197	-74.0025
4/2/2014 8:26:00	40.776	-73.9603
4/2/2014 8:27:00	40.7189	-74.0024
4/2/2014 8:28:00	40.7716	-73.9865
4/2/2014 8:30:00	40.7621	-73.9875
4/2/2014 8:31:00	40.7117	-74.0069
4/2/2014 8:32:00	40.7093	-74.0177
4/2/2014 8:32:00	40.7834	-73.9783
4/2/2014 8:32:00	40.7187	-74.0052
4/2/2014 8:33:00	40.7666	-73.9707
4/2/2014 8:35:00	40.75	-73.9815
4/2/2014 8:35:00	40.7663	-73.9607
4/2/2014 8:35:00	40.7406	-74.0078
4/2/2014 8:35:00	40.7406	-74.0078
4/2/2014 8:36:00	40.7354	-74.0039
4/2/2014 8:36:00	40.7361	-73.9979
4/2/2014 8:36:00	40.779	-73.9826
4/2/2014 8:37:00	40.7407	-73.9874
4/2/2014 8:38:00	40.7896	-73.9759
4/2/2014 8:39:00	40.7483	-73.9728
4/2/2014 8:39:00	40.733	-73.996
4/2/2014 8:40:00	40.6947	-73.9594
4/2/2014 8:43:00	40.7831	-73.9568
4/2/2014 8:43:00	40.774	-73.9659
4/2/2014 8:43:00	40.7659	-73.9545
4/2/2014 8:44:00	40.7599	-73.9913
4/2/2014 8:46:00	40.7235	-74.0107
4/2/2014 8:46:00	40.7642	-73.9712
4/2/2014 8:48:00	40.6735	-73.9516
4/2/2014 8:48:00	40.7181	-74.0031
